Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,145.110001,146.149994,144.729996,146.059998,119.976501,192059000
2013-01-03,145.990005,146.369995,145.339996,145.729996,119.705399,144761800
2013-01-04,145.970001,146.610001,145.669998,146.369995,120.231087,116817700
2013-01-07,145.850006,146.110001,145.429993,145.970001,119.902573,110002500
2013-01-08,145.710007,145.910004,144.979996,145.550003,119.557579,121265100
2013-01-09,145.869995,146.320007,145.639999,145.919998,119.861488,90745600
2013-01-10,146.729996,147.089996,145.970001,147.080002,120.814331,130735400
2013-01-11,147.039993,147.149994,146.610001,147.070007,120.806122,113917300
2013-01-14,146.889999,147.070007,146.429993,146.970001,120.723969,89567200
2013-01-15,146.289993,147.210007,146.199997,147.070007,120.806122,93172600
2013-01-16,146.770004,147.279999,146.610001,147.050003,120.789696,104849500
2013-01-17,147.699997,148.419998,147.149994,148.000000,121.570053,133833500
2013-01-18,147.970001,148.490005,147.429993,148.330002,121.841103,169906000
2013-01-22,148.330002,149.130005,147.979996,149.130005,122.498260,111797300
2013-01-23,149.130005,149.500000,148.860001,149.369995,122.695404,104596100
2013-01-24,149.149994,150.139999,149.009995,149.410004,122.728287,146426400
2013-01-25,149.880005,150.250000,149.369995,150.250000,123.418266,147211600
2013-01-28,150.289993,150.330002,149.509995,150.070007,123.270401,113357700
2013-01-29,149.770004,150.850006,149.669998,150.660004,123.755051,105694400
2013-01-30,150.639999,150.940002,149.929993,150.070007,123.270401,137447700
2013-01-31,149.889999,150.380005,149.600006,149.699997,122.966469,108975800
2013-02-01,150.649994,151.419998,150.389999,151.240005,124.231461,131173000
2013-02-04,150.320007,151.270004,149.429993,149.539993,122.835014,159073600
2013-02-05,150.350006,151.479996,150.289993,151.050003,124.075409,113912400
2013-02-06,150.520004,151.259995,150.410004,151.160004,124.165718,138762800
2013-02-07,151.210007,151.350006,149.860001,150.960007,124.001472,162490000
2013-02-08,151.220001,151.889999,151.220001,151.800003,124.691414,103133700
2013-02-11,151.740005,151.899994,151.389999,151.770004,124.666786,73775000
2013-02-12,151.779999,152.300003,151.610001,152.020004,124.872154,65392700
2013-02-13,152.330002,152.610001,151.720001,152.149994,124.978859,82322600
2013-02-14,151.690002,152.470001,151.520004,152.289993,125.093910,80834300
2013-02-15,152.429993,152.589996,151.550003,152.110001,124.946075,215226500
2013-02-19,152.369995,153.279999,152.160004,153.250000,125.882492,95105400
2013-02-20,153.139999,153.190002,151.259995,151.339996,124.313545,160574800
2013-02-21,150.960007,151.419998,149.940002,150.419998,123.557861,183257000
2013-02-22,151.149994,151.889999,150.490005,151.889999,124.765373,106356600
2013-02-25,152.630005,152.860001,149.000000,149.000000,122.391449,245824800
2013-02-26,149.720001,150.199997,148.729996,150.020004,123.229347,186596200
2013-02-27,149.889999,152.330002,149.759995,151.910004,124.781830,150781900
2013-02-28,151.899994,152.869995,151.410004,151.610001,124.535355,126866000
2013-03-01,151.089996,152.339996,150.410004,152.110001,124.946075,170634800
2013-03-04,151.759995,152.919998,151.520004,152.919998,125.611427,99010200
2013-03-05,153.660004,154.699997,153.639999,154.289993,126.736717,121431900
2013-03-06,154.839996,154.919998,154.160004,154.500000,126.909286,94469900
2013-03-07,154.699997,154.979996,154.520004,154.779999,127.139252,86101400
2013-03-08,155.460007,155.649994,154.660004,155.440002,127.681419,123477800
2013-03-11,155.320007,156.039993,155.130005,156.029999,128.166061,83746800
2013-03-12,155.919998,156.100006,155.210007,155.679993,127.878555,105755800
2013-03-13,155.759995,156.119995,155.229996,155.899994,128.059265,92550900
2013-03-14,156.309998,156.800003,155.910004,156.729996,128.741013,126329900
2013-03-15,155.850006,156.039993,155.309998,155.830002,128.571060,138601100
2013-03-18,154.339996,155.639999,154.199997,154.970001,127.861511,126704300
2013-03-19,155.300003,155.509995,153.589996,154.610001,127.564423,167567300
2013-03-20,155.520004,155.949997,155.259995,155.690002,128.455521,113759300
2013-03-21,154.759995,155.639999,154.100006,154.360001,127.358192,128605000
2013-03-22,154.850006,155.600006,154.729996,155.600006,128.381287,111163600
2013-03-25,156.009995,156.270004,154.350006,154.949997,127.845055,151322300
2013-03-26,155.589996,156.229996,155.419998,156.190002,128.868134,86856600
