종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
인피니트헬스케어,5410,120,-2.17%,500,78927,1320,77,11.11,0.11,KOSDAQ
아모센스,11750,250,2.17%,500,64819,1318,9,-345.59,-1.08,KOSDAQ
SCI평가정보,3705,50,1.37%,500,103986,1315,46,-617.5,6.1,KOSDAQ
엑시콘,12120,70,0.58%,500,29713,1315,103,11.68,9.42,KOSDAQ
휴맥스,2990,15,-0.50%,500,110181,1315,-53,-1.89,-5.17,KOSDAQ
에이스토리,13770,130,-0.94%,500,13857,1314,85,1967.14,4.11,KOSDAQ
한국경제TV,5710,80,1.42%,500,42859,1313,84,11.68,7.16,KOSDAQ
뉴프렉스,5370,120,-2.19%,500,153492,1313,179,335.62,8.48,KOSDAQ
우리산업,14360,60,0.42%,500,34553,1311,-247,-20.6,-7.45,KOSDAQ
플래스크,996,7,0.71%,500,439548,1310,-135,-3.89,-22.47,KOSDAQ
꿈비,10660,0,0.00%,100,627451,1307,11,63.83,9.59,KOSDAQ
레드캡투어,15200,80,-0.52%,500,7113,1306,363,7.95,3.82,KOSDAQ
플리토,24950,50,-0.20%,500,67374,1305,-66,-22.56,-22.28,KOSDAQ
이랜시스,4385,5,0.11%,100,490800,1305,55,29.63,8.33,KOSDAQ
삼보모터스,5730,10,-0.17%,500,134447,1303,229,3.86,2.58,KOSDAQ
에이스테크,1860,43,-2.26%,500,821165,1301,-201,-2.01,-7.92,KOSDAQ
NEW,4660,10,-0.21%,500,45849,1300,72,-5.97,-6.21,KOSDAQ
브랜드엑스코퍼레이션,4435,0,0.00%,500,66063,1298,179,10.39,9.01,KOSDAQ
엔바이오니아,15550,50,-0.32%,500,15870,1298,-7,-38.97,0.19,KOSDAQ
아가방컴퍼니,3940,40,-1.01%,500,266026,1296,145,11.13,4.88,KOSDAQ
케이프,4190,60,1.45%,500,23341,1295,24,11.23,-0.02,KOSDAQ
대한뉴팜,8980,20,-0.22%,500,44149,1289,276,6.67,14.87,KOSDAQ
농우바이오,8040,10,-0.12%,500,8952,1289,110,12.39,3.08,KOSDAQ
대성창투,2385,0,0.00%,500,580184,1288,10,-46.76,1.28,KOSDAQ
액토즈소프트,11340,380,-3.24%,500,72528,1285,234,37.93,0.83,KOSDAQ
케이옥션,4710,250,-5.04%,500,1085841,1280,58,-79.83,2.58,KOSDAQ
핑거,13700,270,2.01%,500,1347022,1280,54,49.46,2.89,KOSDAQ
SBI인베스트먼트,789,3,-0.38%,500,283920,1279,-150,-35.86,-10.98,KOSDAQ
메디아나,7970,30,-0.37%,500,2060673,1275,106,10.92,10.95,KOSDAQ
TS트릴리온,1348,8,0.60%,100,455864,1273,-58,-43.48,-15.23,KOSDAQ
엠게임,6490,20,-0.31%,500,89652,1268,301,5.47,22.37,KOSDAQ
제노코,16910,60,-0.35%,500,23776,1268,32,82.89,4.29,KOSDAQ
태웅로직스,3300,60,-1.79%,100,84500,1268,1166,6.08,26.59,KOSDAQ
동아화성,8020,70,0.88%,500,35752,1267,144,19.42,5.59,KOSDAQ
