종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
정다운,2915,115,-3.80%,100,492404,953,184,4.11,9.24,KOSDAQ
와이어블,1801,1,0.06%,500,35754,952,34,51.46,1.83,KOSDAQ
씨앤투스,3490,30,-0.85%,500,28605,952,267,79.32,10.18,KOSDAQ
엠에스씨,5390,10,-0.19%,500,19448,949,247,5.11,9.13,KOSDAQ
미투온,3030,20,-0.66%,500,65794,947,270,10.71,9.27,KOSDAQ
라이트론,3300,30,-0.90%,500,607703,945,12,-13.75,-0.88,KOSDAQ
선진뷰티사이언스,7730,70,0.91%,500,26702,943,53,4.46,16.53,KOSDAQ
피제이메탈,3800,25,0.66%,500,38538,943,104,8.98,5.86,KOSDAQ
케일럼,3515,585,-14.27%,500,496729,942,-35,-3.29,-19.43,KOSDAQ
대봉엘에스,8480,0,0.00%,500,105166,940,82,13.44,6.75,KOSDAQ
본느,2670,35,1.33%,100,343969,940,17,19.93,1.26,KOSDAQ
디케이락,9200,20,0.22%,500,40993,934,114,6.61,3.58,KOSDAQ
세보엠이씨,8870,100,-1.11%,500,20500,934,331,3.46,6.25,KOSDAQ
이노시스,1180,0,0.00%,500,0,931,4,-4.66,-17.38,KOSDAQ
피엔티엠에스,9210,0,0.00%,500,0,930,-59,-9.81,-14.71,KOSDAQ
오상자이엘,5240,70,1.35%,500,22868,930,37,4.27,8.68,KOSDAQ
화인써키트,7850,60,-0.76%,100,11237,929,41,54.51,7.31,KOSDAQ
피제이전자,6160,0,0.00%,500,4794,924,61,19.31,3.91,KOSDAQ
오르비텍,3410,5,-0.15%,500,97573,923,-118,-9.39,-10.51,KOSDAQ
티쓰리,1373,9,-0.65%,100,658945,921,128,6.24,10.32,KOSDAQ
케이사인,1302,0,0.00%,100,91875,920,92,18.6,5.32,KOSDAQ
지엘팜텍,1475,111,-7.00%,100,1443574,920,-33,-38.82,-2.17,KOSDAQ
비트컴퓨터,5530,30,0.55%,500,139748,919,61,16.86,6.75,KOSDAQ
에스제이그룹,9290,50,0.54%,500,5031,917,358,4.45,16.28,KOSDAQ
코리아에프티,3290,50,1.54%,100,218657,916,194,3.97,2.16,KOSDAQ
일승,2980,0,0.00%,100,68639,916,32,270.91,3.58,KOSDAQ
제이씨현시스템,4780,20,0.42%,500,1458667,914,-24,15.13,0.24,KOSDAQ
미래생명자원,4470,5,0.11%,100,78442,913,16,144.19,1.58,KOSDAQ
광림,1006,0,0.00%,500,0,912,220,-40.24,-9.79,KOSDAQ
아이에스이커머스,3520,265,8.14%,500,287094,909,-121,-7.14,-15.4,KOSDAQ
오브젠,23250,100,0.43%,500,7462,908,-20,-15.45,-17.81,KOSDAQ
포인트엔지니어링,1564,8,0.51%,100,17097,907,5,-23.34,0.78,KOSDAQ
창해에탄올,9860,210,2.18%,500,14762,906,98,-8.7,0.16,KOSDAQ
알리코제약,5910,40,0.68%,500,37140,906,99,12.44,5.85,KOSDAQ
씨유박스,8740,300,-3.32%,500,452442,904,-63,-8.99,-22.47,KOSDAQ
저스템,12630,230,-1.79%,500,30456,904,71,11.03,11.06,KOSDAQ
에스엔유,2630,50,1.94%,500,80456,903,66,10.73,4.27,KOSDAQ
테고사이언스,11130,210,1.92%,500,42574,903,2,-69.56,0.5,KOSDAQ
SM Life Design,1959,23,1.19%,500,92670,902,25,21.77,3.89,KOSDAQ
로체시스템즈,5880,10,-0.17%,500,13696,899,264,5.57,15.74,KOSDAQ
한컴위드,3180,50,1.60%,500,94091,897,-7,9.49,2.72,KOSDAQ
아톤,4110,150,3.79%,100,424750,897,80,5.14,15.9,KOSDAQ
마이크로투나노,15110,130,-0.85%,500,24715,894,63,12.75,12.24,KOSDAQ
스피어파워,9400,560,-5.62%,500,98674,893,-73,-11.55,-10.63,KOSDAQ
한국컴퓨터,5550,20,0.36%,500,89498,892,188,4.89,11.17,KOSDAQ
대성하이텍,6490,170,2.69%,100,170766,890,115,-24.49,1.42,KOSDAQ
RF머트리얼즈,10480,80,-0.76%,500,14866,884,27,39.1,4.26,KOSDAQ
지니너스,2655,5,0.19%,500,311541,883,-97,-10.54,-18.07,KOSDAQ
메카로,8660,100,-1.14%,500,7539,883,26,2.14,22.92,KOSDAQ
레몬,2100,0,0.00%,500,90133,882,-66,-3.32,-44.52,KOSDAQ
머큐리,5550,70,-1.25%,500,109794,879,49,20.86,0.37,KOSDAQ
코센,2875,25,-0.86%,500,433134,878,20,17.97,7.11,KOSDAQ
바이브컴퍼니,7120,40,0.56%,500,22735,878,-182,3.99,-23.55,KOSDAQ
데이타솔루션,5400,90,1.69%,500,68266,876,27,128.57,3.31,KOSDAQ
애니젠,14700,750,-4.85%,500,133284,873,-43,-9.65,-21.29,KOSDAQ
핌스,3810,80,-2.06%,500,77889,871,11,16.71,1.3,KOSDAQ
자연과환경,1066,4,-0.37%,500,190374,868,5,53.3,0.09,KOSDAQ
삼기,2255,0,0.00%,100,89077,865,115,-2.64,-5.52,KOSDAQ
에스바이오메딕스,7600,100,-1.30%,500,54758,862,-37,-11.08,-22.56,KOSDAQ
모비데이즈,535,7,-1.29%,100,196247,860,46,48.64,-8.88,KOSDAQ
파라텍,1078,34,-3.06%,200,991196,860,-18,-10.57,-3.19,KOSDAQ
한성크린텍,1719,1,0.06%,500,75619,860,56,-9.94,-1.41,KOSDAQ
우양,5400,60,1.12%,100,135440,859,1,-41.22,-2.1,KOSDAQ
나라엠앤디,6050,20,-0.33%,500,21882,859,105,6.48,4.1,KOSDAQ
스코넥,6830,90,-1.30%,500,24777,857,-46,-16.46,-25.26,KOSDAQ
액션스퀘어,1839,56,3.14%,500,104533,856,-151,-6.5,-36.9,KOSDAQ
브리지텍,7150,0,0.00%,500,207758,855,39,30.3,5.24,KOSDAQ
에프엔씨엔터,5550,140,-2.46%,500,12440,854,-132,-5.14,-15.55,KOSDAQ
신일제약,7120,60,0.85%,500,31506,853,137,6.76,8.95,KOSDAQ
PN풍년,8520,120,1.43%,500,67233,852,14,51.64,3.27,KOSDAQ
이라이콤,6980,20,-0.29%,500,75584,851,-95,-10.12,-2.38,KOSDAQ
HRS,5200,30,0.58%,500,31991,850,114,7.9,8.45,KOSDAQ
큐에스아이,9170,0,0.00%,500,5297,850,18,15.21,8.4,KOSDAQ
체리부로,1772,42,2.43%,500,1056219,850,165,9.33,3.31,KOSDAQ
윈팩,1426,26,-1.79%,500,93888,850,19,-7.24,-0.94,KOSDAQ
에코바이오,6220,570,10.09%,500,5690784,847,-1,-14.23,-4.88,KOSDAQ
삼화네트웍스,1962,23,-1.16%,200,97314,847,108,9.81,16.88,KOSDAQ
라이콤,2830,155,5.79%,100,3634634,847,40,20.81,16.05,KOSDAQ
CBI,2080,236,12.80%,1000,1429267,846,4,-2.5,-39.3,KOSDAQ
삼천리자전거,6350,20,0.32%,500,105558,843,11,12.7,-3.8,KOSDAQ
녹십자엠에스,3990,30,0.76%,500,24492,843,-13,71.25,-3.18,KOSDAQ
에스넷,4565,35,-0.76%,500,73756,841,22,87.79,-1.64,KOSDAQ
아이큐어,2240,125,-5.29%,500,842012,841,-268,-1.86,-19.36,KOSDAQ
캡스톤파트너스,6300,440,-6.53%,200,2955110,841,71,11.23,20.74,KOSDAQ
제일테크노스,9320,100,1.08%,500,257862,839,194,3.33,6.27,KOSDAQ
옵투스제약,5190,110,2.17%,500,384282,838,53,10.48,3.63,KOSDAQ
엠벤처투자,734,19,-2.52%,500,173300,837,-162,-3.15,-23.98,KOSDAQ
제룡산업,4165,960,29.95%,500,10700320,833,96,8.82,11.66,KOSDAQ
엠아이큐브솔루션,16850,90,0.54%,100,28630,833,28,21.66,28.96,KOSDAQ
경남스틸,3085,15,-0.48%,100,55116,832,114,8.08,5.85,KOSDAQ
케어랩스,4280,90,2.15%,500,119801,831,-64,-3.21,-13.92,KOSDAQ
모니터랩,6860,100,-1.44%,100,197719,830,11,95.28,4.68,KOSDAQ
파수,7120,100,1.42%,500,11153,830,52,19.67,10.94,KOSDAQ
대양제지,3090,5,0.16%,500,6854,830,-68,-88.29,-1.38,KOSDAQ
동일금속,9110,110,-1.19%,500,13120,829,139,7.1,8.26,KOSDAQ
줌인터넷,3070,85,2.85%,100,1985622,828,-7,-19.68,-5.01,KOSDAQ
경창산업,2310,5,0.22%,500,74747,827,192,6.43,3.8,KOSDAQ
엘티씨,9370,560,6.36%,500,172168,827,108,-7.93,1.41,KOSDAQ
아이엘사이언스,3195,65,-1.99%,100,82368,825,-7,-9.48,2.87,KOSDAQ
코콤,4690,70,1.52%,500,785923,822,-23,67.97,-1.72,KOSDAQ
오픈베이스,2615,5,0.19%,500,121211,822,80,17.32,4.38,KOSDAQ
웰크론,2910,40,1.39%,500,206087,822,63,-59.39,-0.28,KOSDAQ
아이비김영,1824,27,-1.46%,100,484509,820,31,35.76,-3.03,KOSDAQ
에이치엘사이언스,15140,110,-0.72%,500,4756,816,-6,-68.2,1.35,KOSDAQ
아이티센,3975,45,1.15%,500,146325,815,304,32.58,4.11,KOSDAQ
제이티,7900,60,0.77%,500,22678,815,151,8.46,19.11,KOSDAQ
피코그램,4420,5,-0.11%,100,38700,814,33,100.45,6.29,KOSDAQ
에스씨디,1679,9,0.54%,500,149536,811,113,17.86,5.01,KOSDAQ
우림피티에스,6000,0,0.00%,500,34025,810,54,34.48,5.42,KOSDAQ
웨이브일렉트로,5410,100,1.88%,500,11428,810,-59,-19.96,-9.13,KOSDAQ
KCI,7180,40,0.56%,500,2583,809,219,6.74,16.16,KOSDAQ
디지틀조선,2180,40,-1.80%,500,266037,809,21,24.77,2.99,KOSDAQ
흥국에프엔비,2015,45,-2.18%,100,41021,809,105,9.24,6.95,KOSDAQ
TJ미디어,5800,70,1.22%,500,55073,808,41,14.46,3.61,KOSDAQ
인지디스플레,1836,4,-0.22%,500,42958,806,186,5.51,1.4,KOSDAQ
케이씨에스,6690,20,0.30%,500,45371,803,5,40.06,2.3,KOSDAQ
젠큐릭스,6020,90,-1.47%,500,566277,802,-110,-2.57,-55.01,KOSDAQ
삼현철강,5100,30,-0.58%,500,13525,801,191,6.5,7.34,KOSDAQ
휴림에이텍,602,32,-5.05%,200,2932625,801,26,8.85,25.94,KOSDAQ
시큐레터,10030,720,-6.70%,500,381547,797,-55,-11.97,-62.73,KOSDAQ
남화토건,6790,0,0.00%,500,17625,797,45,3.18,10.66,KOSDAQ
코메론,8800,30,0.34%,500,4975,796,153,4.03,7.76,KOSDAQ
구영테크,2975,20,0.68%,500,94330,796,77,5.03,1.72,KOSDAQ
현우산업,4260,20,-0.47%,500,70638,795,83,9.14,2.37,KOSDAQ
SBW생명과학,446,29,-6.11%,100,601714,795,26,-11.15,-15.44,KOSDAQ
샤페론,3435,45,-1.29%,500,103657,792,-110,-6.46,-34.33,KOSDAQ
제놀루션,4100,5,0.12%,500,25999,787,147,-67.21,13.95,KOSDAQ
성호전자,1470,2,-0.14%,500,232187,785,20,8.96,-1.95,KOSDAQ
에스텍파마,6590,10,-0.15%,500,35720,784,32,-37.66,-4.97,KOSDAQ
웰크론한텍,3470,15,-0.43%,500,44780,784,14,25.51,-1.55,KOSDAQ
티플랙스,3230,10,-0.31%,500,182669,784,213,36.7,7,KOSDAQ
퀀타매트릭스,4735,15,-0.32%,500,13760,783,-200,-3.97,-35.18,KOSDAQ
대모,9390,40,0.43%,500,52329,782,21,-335.36,1.72,KOSDAQ
우리로,1783,18,-1.00%,500,708138,781,13,-12.38,-5.64,KOSDAQ
서린바이오,8980,130,1.47%,500,25868,781,86,28.78,7.35,KOSDAQ
그린플러스,7220,0,0.00%,500,19905,781,36,-20.81,-3.39,KOSDAQ
대창솔루션,477,2,0.42%,100,293658,781,-47,119.25,-6.42,KOSDAQ
오로라,7250,0,0.00%,500,13326,780,183,18.26,1.77,KOSDAQ
동우팜투테이블,3020,30,1.00%,500,69061,780,119,1.93,5.85,KOSDAQ
유성티엔에스,2105,20,0.96%,500,11406,780,27,1.11,10.26,KOSDAQ
에프엔에스테크,9140,230,2.58%,500,59962,776,58,228.5,4.22,KOSDAQ
한일단조,2460,10,0.41%,500,322972,776,146,6.21,2.99,KOSDAQ
에프앤가이드,6420,40,0.63%,500,4481,776,61,10.26,8.16,KOSDAQ
클리노믹스,2425,180,8.02%,100,1075044,775,-108,-2.66,-10.25,KOSDAQ
고려제약,7040,40,-0.56%,500,33125,774,143,21.73,12.9,KOSDAQ
소니드,2235,40,-1.76%,2500,149966,774,-12,-1.59,-8,KOSDAQ
액트로,7690,230,3.08%,500,53979,774,-58,-13.88,-9.78,KOSDAQ
피에스텍,3995,20,-0.50%,500,3083,774,-18,24.51,-2.91,KOSDAQ
드림씨아이에스,3260,150,-4.40%,500,203939,773,58,18.84,6.72,KOSDAQ
에이루트,480,0,0.00%,500,786913,773,3,32,3.25,KOSDAQ
비엘,2390,55,-2.25%,500,634795,771,-146,-5.26,-20.01,KOSDAQ
DSC인베스트먼트,2770,0,0.00%,500,60216,770,188,12.82,14.19,KOSDAQ
모비릭스,8010,10,-0.12%,100,7413,769,53,42.38,6.77,KOSDAQ
코퍼스코리아,2025,59,3.00%,100,135365,768,91,13.59,-1.15,KOSDAQ
컴퍼니케이,4920,40,0.82%,500,14486,768,63,11.34,7.52,KOSDAQ
웨이버스,1593,13,-0.81%,100,104291,767,18,13.28,-26.43,KOSDAQ
에이텍모빌리티,14330,170,-1.17%,500,24745,765,65,13.67,4.96,KOSDAQ
손오공,2265,110,-4.63%,500,254696,765,-60,-7.68,-14.05,KOSDAQ
디티앤씨,6540,100,-1.51%,500,663552,765,45,75.17,1.29,KOSDAQ
진시스템,10970,560,-4.86%,500,29746,764,-66,-6.94,-19.59,KOSDAQ
유니트론텍,3965,30,-0.75%,500,138944,763,309,4.11,5.9,KOSDAQ
알피바이오,8790,110,-1.24%,500,45169,762,96,76.43,2.72,KOSDAQ
옵트론텍,3110,10,-0.32%,500,73185,761,-489,-1.46,-25.81,KOSDAQ
YBM넷,4665,50,1.08%,500,268433,761,48,9.46,8.92,KOSDAQ
플래티어,9090,50,-0.55%,500,10069,761,32,48.1,7.29,KOSDAQ
서진오토모티브,3580,5,0.14%,500,106577,760,464,8.42,2.4,KOSDAQ
코스텍시스,2020,15,-0.74%,100,51074,760,36,-61.21,-3.28,KOSDAQ
피플바이오,3595,50,-1.37%,500,153329,758,-117,-2.92,-32.04,KOSDAQ
잉크테크,3865,5,-0.13%,500,919,758,58,33.61,3.75,KOSDAQ
에코캡,2835,10,0.35%,100,22126,757,-19,-354.38,-2.4,KOSDAQ
피엔케이피부임상연구센타,2510,25,-0.99%,500,42524,753,56,12.36,10.07,KOSDAQ
프로이천,2670,30,1.14%,100,133900,753,31,21.19,13.26,KOSDAQ
엔에프씨,8420,70,0.84%,100,11949,752,23,27.25,2.64,KOSDAQ
한국전자인증,3955,25,0.64%,500,60040,751,50,53.45,5.31,KOSDAQ
강스템바이오텍,1340,27,-1.98%,500,248406,750,-206,-2.68,-21.96,KOSDAQ
바이오스마트,3585,55,1.56%,500,68797,749,102,11.79,-0.51,KOSDAQ
이원컴포텍,3005,5,-0.17%,500,165827,748,17,7.42,-11.21,KOSDAQ
이노뎁,10180,70,-0.68%,500,27812,747,4,-164.19,1.02,KOSDAQ
포시에스,2730,55,-1.97%,500,453364,746,52,11.92,7.23,KOSDAQ
나무기술,2155,5,0.23%,100,160022,746,22,-34.76,0.67,KOSDAQ
진양제약,6200,0,0.00%,500,43842,744,111,5.75,11.56,KOSDAQ
슈프리마에이치큐,7100,200,-2.74%,500,314035,744,66,2.08,6.87,KOSDAQ
모베이스,3210,25,0.78%,500,614128,743,706,6.5,2.44,KOSDAQ
영림원소프트랩,9120,160,-1.72%,500,19953,742,64,13.35,12.18,KOSDAQ
엠젠솔루션,2315,447,23.93%,500,11439160,735,29,-13.78,-0.57,KOSDAQ
오킨스전자,4155,35,-0.84%,500,40440,735,26,115.42,3.76,KOSDAQ
비투엔,2180,130,6.34%,100,1389235,734,-22,-31.14,-6.41,KOSDAQ
에스에이티,2810,15,-0.53%,500,259836,734,111,59.79,5.63,KOSDAQ
힘스,6490,90,1.41%,500,25032,734,-133,13.06,-10.55,KOSDAQ
에이치와이티씨,7210,210,-2.83%,500,154480,734,20,23.41,3.79,KOSDAQ
래몽래인,11330,60,-0.53%,500,32192,733,-63,-11.15,-8.85,KOSDAQ
흥국,5950,0,0.00%,500,13993,733,112,5.97,7.25,KOSDAQ
아셈스,6630,10,-0.15%,500,3190,731,87,12.17,8.3,KOSDAQ
파이오링크,10650,30,-0.28%,500,28889,730,114,7.71,13.61,KOSDAQ
램테크놀러지,5140,10,-0.19%,500,40358,730,69,40.79,7.95,KOSDAQ
제노포커스,3205,90,-2.73%,500,23858,729,-62,-5.46,-10.6,KOSDAQ
유에스티,3075,5,0.16%,100,12047,729,162,6.57,15.63,KOSDAQ
푸른기술,8710,120,-1.36%,500,584228,728,10,22.39,0.44,KOSDAQ
인산가,1905,6,-0.31%,100,229829,728,47,14.43,4.32,KOSDAQ
KBG,8300,40,0.48%,200,61392,725,41,19.04,7.65,KOSDAQ
이지트로닉스,8940,80,0.90%,500,7009,725,-30,-62.52,-4.34,KOSDAQ
iMBC,3150,20,0.64%,500,167361,724,26,32.14,2.52,KOSDAQ
제이스코홀딩스,1412,2,0.14%,500,628947,723,-62,-2.29,-19.61,KOSDAQ
아우딘퓨쳐스,2275,50,2.25%,500,160708,720,-97,-7.25,-31.67,KOSDAQ
FSN,2165,45,-2.04%,500,118263,720,2,-4.36,-5.11,KOSDAQ
하츠,5620,80,-1.40%,500,33271,719,72,12.46,3.64,KOSDAQ
우리넷,6670,80,-1.19%,500,24334,717,-69,-10.95,-9.28,KOSDAQ
쎄노텍,1570,6,0.38%,100,46913,714,11,-17.84,-0.08,KOSDAQ
이삭엔지니어링,8610,10,0.12%,500,16513,714,24,48.37,3.29,KOSDAQ
보라티알,10570,60,-0.56%,500,20560,714,106,11.26,18.03,KOSDAQ
대원,5290,20,0.38%,500,2833,711,178,-3.69,3.61,KOSDAQ
지엔씨에너지,4315,0,0.00%,500,1938369,710,61,2.21,15.47,KOSDAQ
세종메디칼,1281,4,0.31%,100,239321,709,-18,-1.07,-80.48,KOSDAQ
알에프세미,4455,310,-6.51%,500,721119,708,-105,-3.38,-16.68,KOSDAQ
삼보산업,1456,39,2.75%,100,2109396,707,84,-3.42,-3.28,KOSDAQ
누리플렉스,5850,10,0.17%,500,62024,705,104,27.08,0.3,KOSDAQ
에코볼트,1120,18,-1.58%,1000,625238,703,-99,-2.49,-18.43,KOSDAQ
수산아이앤티,10400,100,-0.95%,500,8770,702,35,18.41,1.23,KOSDAQ
오텍,4555,0,0.00%,500,35407,701,-191,-2.32,-6.17,KOSDAQ
토마토시스템,4565,155,3.51%,500,221247,701,75,11.86,31.71,KOSDAQ
조광ILI,732,0,0.00%,500,0,701,28,-3.3,-12.37,KOSDAQ
신화인터텍,2400,70,3.00%,500,80863,699,-28,-3.66,-4.83,KOSDAQ
케이피엠테크,403,23,-5.40%,100,669692,699,-4,20.15,-9.26,KOSDAQ
코츠테크놀로지,13730,130,0.96%,100,142966,698,28,25.76,7.17,KOSDAQ
테크엘,4175,15,0.36%,500,42858,696,-38,835,-7.88,KOSDAQ
KX하이텍,1262,33,-2.55%,500,312781,695,123,7.17,7.87,KOSDAQ
스톤브릿지벤처스,3825,0,0.00%,500,13588,694,78,16.49,7.98,KOSDAQ
대동기어,7700,30,0.39%,500,90909,692,76,19.4,1.83,KOSDAQ
SDN,1229,20,-1.60%,500,2129056,690,3,-614.5,0.44,KOSDAQ
린드먼아시아,5040,10,-0.20%,500,11464,690,44,22.91,5.36,KOSDAQ
성도이엔지,4450,5,0.11%,500,95334,688,-50,-18.02,0.16,KOSDAQ
DH오토웨어,2235,0,0.00%,2500,23726,688,23,-36.64,-3.29,KOSDAQ
내츄럴엔도텍,2165,5,0.23%,500,4294,687,-84,-10.31,-23.62,KOSDAQ
수성샐바시온,617,40,6.93%,500,1466519,686,-43,-1.99,-7.44,KOSDAQ
브릿지바이오테라퓨틱스,3165,20,0.64%,500,38384,685,-435,-2.17,-77.14,KOSDAQ
CSA 코스믹,1113,30,-2.62%,200,55514,682,-93,-3.35,-30.33,KOSDAQ
진영,3895,40,-1.02%,100,132278,681,64,9.62,11.96,KOSDAQ
에스유홀딩스,570,13,-2.23%,500,1698060,677,-65,-2.6,-20.55,KOSDAQ
코데즈컴바인,1789,7,-0.39%,500,54592,677,39,15.29,9.29,KOSDAQ
링크제니시스,5900,100,1.72%,100,62831,677,36,22.1,4,KOSDAQ
이건홀딩스,2995,95,-3.07%,1000,125443,676,221,-25.6,0.78,KOSDAQ
이엠넷,3030,5,-0.16%,500,20761,675,93,13.96,5.57,KOSDAQ
엔투텍,651,4,-0.61%,100,163385,674,-19,2.47,0.86,KOSDAQ
CNH,1810,8,-0.44%,2500,6396,673,-418,3.81,-2.84,KOSDAQ
이글루,6110,10,0.16%,500,24200,672,80,8.78,8.46,KOSDAQ
인포바인,21000,100,0.48%,500,4067,670,69,9.6,5.74,KOSDAQ
원익,3680,60,1.66%,500,54742,670,74,3.1,11.06,KOSDAQ
나래나노텍,6050,50,-0.82%,500,7856,669,20,-49.59,1.51,KOSDAQ
유투바이오,5910,630,11.93%,500,8617338,667,157,4.54,28.5,KOSDAQ
팜스빌,8390,40,-0.47%,500,7120,665,41,18.44,5.45,KOSDAQ
에스앤디,16380,460,-2.73%,500,7304,665,109,7.9,11.15,KOSDAQ
애머릿지,1707,20,-1.16%,1,36096,664,13,-6.94,1.86,KOSDAQ
이글벳,5250,30,-0.57%,500,107689,664,36,27.34,4.92,KOSDAQ
디엔에이링크,3880,60,-1.52%,500,25424,663,-51,-11.48,-19.11,KOSDAQ
우리산업홀딩스,3505,80,-2.23%,500,96560,662,-198,219.06,-4.56,KOSDAQ
대륙제관,4155,5,-0.12%,500,14010,661,97,6.36,5.38,KOSDAQ
이화공영,3325,5,-0.15%,500,40366,659,1,-32.92,0.58,KOSDAQ
EDGC,571,6,-1.04%,100,666547,657,-95,-1.39,-15.76,KOSDAQ
그리티,3260,30,-0.91%,500,65776,657,29,10.76,2.1,KOSDAQ
비트나인,6270,120,-1.88%,500,63587,655,16,-4.94,-0.99,KOSDAQ
동아엘텍,6110,20,-0.33%,500,5046,652,132,-7.88,0,KOSDAQ
링네트,4240,90,2.17%,500,21212,651,109,5.82,6.9,KOSDAQ
메가엠디,2780,120,-4.14%,500,1761796,651,20,-12.75,2.03,KOSDAQ
프리엠스,10790,360,3.45%,500,45278,647,7,56.2,2.1,KOSDAQ
자비스,2105,15,-0.71%,100,135815,647,0,-12.53,0.91,KOSDAQ
씨엔알리서치,1180,10,-0.84%,100,57268,647,47,16.39,5.54,KOSDAQ
위세아이텍,8750,80,-0.91%,500,24774,646,13,-33.78,8.02,KOSDAQ
원익큐브,1824,71,-3.75%,500,634243,646,43,14.36,3.03,KOSDAQ
큐캐피탈,362,9,2.55%,500,1022255,645,-42,-30.17,-4.7,KOSDAQ
태성,2555,25,0.99%,100,106245,645,23,-24.33,-0.87,KOSDAQ
케이엘넷,2665,25,0.95%,500,43743,644,79,10.13,13.13,KOSDAQ
제이엠티,3835,35,-0.90%,500,119196,642,200,2.17,22.34,KOSDAQ
아이진,2990,30,1.01%,500,53886,642,-241,-2.69,-28.58,KOSDAQ
조아제약,2065,20,0.98%,500,112279,640,-5,-93.86,0.62,KOSDAQ
나노씨엠에스,14620,130,-0.88%,500,12897,635,6,-19.81,0.4,KOSDAQ
뷰티스킨,17960,140,-0.77%,500,20664,635,40,19.13,4.53,KOSDAQ
소프트센,601,0,0.00%,200,695559,635,163,-100.17,10.35,KOSDAQ
승일,10330,50,-0.48%,500,16504,633,13,-116.07,0.73,KOSDAQ
인포마크,3860,95,-2.40%,500,159093,633,-66,-6.83,-18.29,KOSDAQ
SGC이테크건설,19500,20,0.10%,5000,1676,632,332,-93.3,6.64,KOSDAQ
티에스넥스젠,581,25,-4.13%,500,466134,632,-26,-14.9,-11.15,KOSDAQ
루멘스,1314,3,-0.23%,500,110590,632,12,-33.69,9.92,KOSDAQ
TKG애강,1219,10,0.83%,500,14671,631,45,11.72,4.26,KOSDAQ
한독크린텍,7510,10,-0.13%,500,7007,630,51,14.12,8.61,KOSDAQ
이니텍,3180,10,-0.31%,500,5741,629,-25,289.09,0.15,KOSDAQ
뉴트리,6840,80,1.18%,500,23701,629,45,-44.13,3.22,KOSDAQ
한빛소프트,2535,15,0.60%,500,35752,629,35,-14.74,7.29,KOSDAQ
일신바이오,1420,1,-0.07%,100,50525,628,51,11.09,6.64,KOSDAQ
전진바이오팜,8380,770,10.12%,500,252271,625,-32,-11.85,-14.78,KOSDAQ
어스앤에어로스페이스,5950,0,0.00%,500,0,624,25,-3.74,2.5,KOSDAQ
아스트,1465,24,1.67%,500,444001,620,-9,-0.72,-3.79,KOSDAQ
네오크레마,7680,40,-0.52%,500,23095,619,14,-7.2,-1.2,KOSDAQ
대명소노시즌,613,4,-0.65%,500,22372,618,-185,-17.03,-10.2,KOSDAQ
웨스트라이즈,2020,40,-1.94%,500,6840,617,-132,-2.08,-96.83,KOSDAQ
동국알앤에스,3345,10,-0.30%,1000,24658,615,42,334.5,3.01,KOSDAQ
태양,7130,60,-0.83%,500,2560,613,74,12.13,3.12,KOSDAQ
대주산업,1731,12,-0.69%,500,59246,613,55,11.1,4.27,KOSDAQ
한국팩키지,2050,25,-1.20%,500,16845,611,6,-10.35,-5.77,KOSDAQ
브레인즈컴퍼니,7430,270,3.77%,500,34475,610,48,13.29,10.95,KOSDAQ
효성오앤비,7180,30,0.42%,500,17782,610,7,36.26,1.43,KOSDAQ
플레이위드,6950,40,-0.57%,500,69652,609,-72,-8.64,-4.4,KOSDAQ
아이엠,6720,470,7.52%,500,159621,608,-98,-6.73,-8.07,KOSDAQ
해성티피씨,6070,0,0.00%,500,20188,608,-13,-89.26,-2.18,KOSDAQ
코아시아씨엠,1342,7,0.52%,1000,17069,608,-44,-3.34,-2.69,KOSDAQ
바른손,1728,28,1.65%,1000,73464,607,-52,-2.79,-30.11,KOSDAQ
화신정공,1666,28,-1.65%,100,91742,606,93,6.19,4.49,KOSDAQ
제일바이오,2080,0,0.00%,500,0,606,-15,-71.72,-4.65,KOSDAQ
파워넷,3100,35,-1.12%,1000,180761,605,57,17.71,1.11,KOSDAQ
한국가구,4030,15,-0.37%,100,20355,604,147,5.2,6.13,KOSDAQ
한일화학,17200,30,-0.17%,500,7585,604,49,-11.08,2.51,KOSDAQ
산돌,7780,240,-2.99%,500,37073,603,81,5.3,19.13,KOSDAQ
에이치시티,8410,80,0.96%,500,5743,603,65,12.19,4.36,KOSDAQ
압타머사이언스,3540,30,-0.84%,500,18357,601,-83,-5.88,-18.04,KOSDAQ
썸에이지,431,10,2.38%,100,760152,600,-165,-3.42,-43.29,KOSDAQ
신도기연,3765,5,0.13%,500,11050,600,-37,-30.36,-0.52,KOSDAQ
에이프로젠 H&G,905,10,1.12%,500,618123,599,-9,2.68,-2.55,KOSDAQ
큐리언트,4820,280,-5.49%,500,146869,599,-275,-3.04,-56.48,KOSDAQ
CNT85,1265,7,-0.55%,500,42155,597,15,5.29,2.42,KOSDAQ
에스씨엠생명과학,2915,10,-0.34%,500,109453,597,-126,-2.04,-52.67,KOSDAQ
에이에프더블류,2945,5,-0.17%,500,9136,597,-40,-16.36,-4.86,KOSDAQ
에너토크,6110,290,4.98%,500,998168,596,9,-86.06,1.47,KOSDAQ
제주맥주,1020,28,-2.67%,500,610206,594,-116,-2.09,-32.01,KOSDAQ
지엔코,606,13,2.19%,500,328336,594,-29,-6.81,-4.14,KOSDAQ
엠브레인,3240,70,2.21%,500,171436,592,47,18.41,8.98,KOSDAQ
