,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
623,코스맥스비티아이,10120.0,270.0,-2.60%,500.0,6719.0,972.0,34.0,-28.43,-2.14,KOSPI
624,텔코웨어,9990.0,80.0,-0.79%,500.0,8981.0,969.0,29.0,9.89,3.04,KOSPI
625,에이플러스에셋,4240.0,15.0,+0.36%,500.0,18440.0,959.0,14.0,5.59,20.77,KOSPI
626,인바이오젠,9340.0,0.0,0.00%,500.0,0.0,938.0,-60.0,4.57,-57.5,KOSPI
627,동양철관,783.0,11.0,-1.39%,500.0,101611.0,931.0,77.0,-37.29,2.16,KOSPI
628,일성건설,1723.0,3.0,-0.17%,500.0,73180.0,931.0,27.0,-107.69,1.87,KOSPI
629,화천기계,4220.0,245.0,-5.49%,500.0,898839.0,928.0,13.0,-263.75,2.24,KOSPI
630,삼일제약,6070.0,110.0,-1.78%,500.0,25491.0,924.0,40.0,35.09,-0.01,KOSPI
631,대현,2080.0,15.0,-0.72%,500.0,66379.0,921.0,302.0,3.99,8.8,KOSPI
632,무림페이퍼,2165.0,5.0,-0.23%,2500.0,51309.0,901.0,963.0,17.46,1.48,KOSPI
633,기신정기,3020.0,30.0,-0.98%,500.0,33667.0,882.0,64.0,27.71,1.65,KOSPI
634,콤텍시스템,728.0,1.0,-0.14%,500.0,255337.0,881.0,159.0,3.14,7.39,KOSPI
635,체시스,2745.0,390.0,-12.44%,500.0,5869691.0,878.0,28.0,-249.55,-0.48,KOSPI
636,인팩,8780.0,70.0,-0.79%,500.0,17222.0,878.0,208.0,5.84,4.43,KOSPI
637,동일고무벨트,6290.0,20.0,+0.32%,500.0,6545.0,874.0,81.0,8.51,1.98,KOSPI
638,휴니드,6190.0,0.0,0.00%,5000.0,368956.0,874.0,127.0,5.03,3.24,KOSPI
639,크라운해태홀딩스,5870.0,10.0,-0.17%,500.0,16528.0,872.0,384.0,7.17,2.09,KOSPI
640,삼호개발,3435.0,20.0,-0.58%,500.0,41312.0,859.0,45.0,8.4,2.05,KOSPI
641,씨아이테크,1714.0,65.0,-3.65%,500.0,243677.0,858.0,6.0,-9.68,-0.76,KOSPI
642,한신공영,7400.0,70.0,-0.94%,5000.0,8121.0,856.0,394.0,2.5,1.79,KOSPI
643,동방아그로,6280.0,0.0,0.00%,500.0,6541.0,855.0,93.0,5.66,3.23,KOSPI
644,신영와코루,9480.0,20.0,-0.21%,500.0,667.0,853.0,66.0,4.07,5.77,KOSPI
645,SG세계물산,420.0,1.0,-0.24%,500.0,127897.0,850.0,72.0,-105.0,0.58,KOSPI
646,다스코,4370.0,50.0,-1.13%,500.0,87355.0,848.0,115.0,8.2,0.69,KOSPI
647,방림,2000.0,7.0,+0.35%,500.0,16055.0,846.0,21.0,-58.82,2.14,KOSPI
648,KC그린홀딩스,3770.0,40.0,+1.07%,500.0,1204878.0,846.0,136.0,10.08,-2.01,KOSPI
649,KH 필룩스,1326.0,0.0,0.00%,500.0,0.0,843.0,-214.0,-1.48,-10.13,KOSPI
650,써니전자,2410.0,10.0,-0.41%,500.0,266325.0,840.0,17.0,17.21,6.55,KOSPI
651,NH프라임리츠,4500.0,5.0,-0.11%,500.0,17161.0,840.0,25.0,8.43,2.6,KOSPI
652,유유제약,4920.0,75.0,-1.50%,1000.0,217925.0,838.0,-6.0,-11.71,-2.28,KOSPI
653,대원전선,1159.0,13.0,+1.13%,500.0,502809.0,834.0,13.0,19.32,0.56,KOSPI
654,상상인증권,766.0,3.0,+0.39%,1000.0,26982.0,830.0,-8.0,13.21,0.62,KOSPI
